unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_process_count,codex_rss_kib,mcp_process_count,mcp_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786204020.882977,676929536,717320192,26,1680656,16,1552572,4,17948,338735104,305819648,29425664,8208384,12083200,0,8061072,1894616,6166456
1786204021.134935,672624640,717320192,21,1659244,16,1552984,0,0,336404480,305831936,27676672,7979008,11034624,8192,7626816,1811632,5815184
1786204021.387330,672358400,717320192,21,1659380,16,1553120,0,0,336404480,305831936,27676672,7979008,11034624,8192,7626816,1811632,5815184
1786204021.639400,673120256,717320192,21,1660508,16,1554148,0,0,337358848,305836032,27578368,7979008,11034624,0,7529984,1798800,5731184
1786204021.891214,673951744,717320192,21,1660736,16,1554376,0,0,337592320,305836032,27594752,7979008,11034624,4096,7535184,1799640,5735544
1786204022.143123,674971648,717320192,21,1661624,16,1555260,0,0,338436096,305872896,27627520,7995392,11034624,8192,7549976,1806024,5743952
1786204022.395054,675033088,717320192,21,1662464,16,1556092,0,0,338890752,305872896,27623424,7995392,11034624,16384,7557200,1807064,5750136
1786204022.647319,675500032,717320192,21,1662556,16,1556184,0,0,338984960,305872896,27623424,7995392,11034624,16384,7556560,1807536,5749024
1786204022.899170,633901056,717320192,19,1468972,14,1362584,0,0,300453888,305876992,24899584,7176192,9818112,8192,6993392,1787344,5206048
1786204023.151240,635650048,717320192,19,1471100,14,1364708,0,0,302632960,305876992,24895488,7176192,9822208,8192,6984328,1786752,5197576
1786204023.403082,638083072,717320192,19,1473820,14,1364796,0,0,304594944,305881088,24915968,7176192,9830400,16384,6988288,1787792,5200496
1786204023.654868,639791104,717320192,19,1476556,14,1364784,0,0,306487296,305893376,24993792,7176192,9834496,20480,7069272,1788832,5280440
1786204023.907057,639619072,717320192,19,1476544,14,1364772,0,0,306487296,305893376,24993792,7176192,9834496,20480,7069272,1788832,5280440
1786204024.158707,601849856,717320192,17,1287508,12,1175724,0,0,270909440,305934336,22499328,6520832,8626176,8192,6551120,1776136,4774984
1786204024.410223,562712576,717320192,15,1097944,10,986148,0,0,233914368,305942528,20070400,5881856,7430144,8192,6082512,1761232,4321280
1786204024.661727,562716672,717320192,15,1097940,10,986140,0,0,233914368,305942528,20070400,5881856,7430144,8192,6082512,1761232,4321280
