unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_process_count,codex_rss_kib,mcp_process_count,mcp_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786204449.455096,615010304,647344128,19,1747604,18,1720500,0,0,355143680,229613568,27979776,7864320,12644352,0,6361496,925088,5436408
1786204449.706895,615493632,647344128,19,1747804,18,1720700,0,0,355389440,229613568,27979776,7864320,12644352,0,6361496,925088,5436408
1786204449.958722,616751104,647344128,19,1748580,18,1721472,0,0,356364288,230440960,27996160,7864320,12644352,0,6364624,930936,5433688
1786204450.210952,618110976,647344128,19,1748924,18,1721816,0,0,356716544,231329792,28016640,7864320,12644352,0,6389904,955872,5434032
1786204450.462603,619163648,647344128,19,1751652,18,1724544,0,0,357412864,231329792,28020736,7864320,12644352,0,6392104,954832,5437272
1786204450.714258,605724672,655941632,19,1608864,16,1546564,0,0,329416704,247234560,26542080,7634944,11620352,0,6253976,973816,5280160
1786204450.966457,611848192,655941632,20,1633116,16,1551968,0,0,334671872,247447552,27197440,7929856,11788288,12288,6437000,977136,5459864
1786204451.218732,635432960,655941632,28,1706132,16,1563396,4,23300,353976320,247562240,31354880,8634368,13815808,20480,7815224,1084968,6730256
1786204451.470784,637120512,723963904,22,1684864,16,1566024,0,0,348741632,250224640,35926016,8519680,12128256,0,14195384,8318872,5876512
1786204451.722539,637288448,723963904,22,1684948,16,1566108,0,0,348741632,250224640,35926016,8519680,12128256,0,14195384,8318872,5876512
1786204451.974705,629129216,723963904,22,1679352,16,1560512,0,0,341913600,250232832,34906112,8519680,11128832,4096,14170344,8325288,5845056
1786204452.226820,628924416,723963904,22,1679436,16,1560596,0,0,341913600,250232832,34906112,8519680,11128832,0,14170344,8325288,5845056
1786204452.478719,626139136,723963904,22,1676716,16,1557872,0,0,339083264,250245120,34902016,8519680,11137024,0,14166992,8325664,5841328
1786204452.731008,586145792,723963904,20,1485924,14,1364324,0,0,300920832,250261504,32305152,7733248,9945088,12288,13664424,8314240,5350184
1786204452.983283,549908480,723963904,18,1298640,12,1174292,0,0,267374592,250281984,29745152,6995968,8777728,4096,13134080,8299648,4834432
1786204453.235115,549990400,723963904,18,1298544,12,1174192,0,0,267276288,250281984,29720576,6995968,8777728,0,13114296,8295256,4819040
1786204453.486806,513814528,723963904,17,1110044,10,982996,1,1584,231747584,250298368,28672000,6275072,8642560,0,13034576,8393552,4641024
1786204453.738765,511860736,723963904,16,1108032,10,983428,0,0,230391808,250310656,27168768,6209536,7561216,8192,12669736,8287504,4382232
1786204453.990324,511406080,723963904,16,1108332,10,983728,0,0,230699008,250310656,27090944,6209536,7561216,0,12595584,8276584,4319000
1786204454.242374,511279104,723963904,16,1108340,10,983736,0,0,230699008,250310656,27090944,6209536,7561216,0,12595584,8276584,4319000
1786204454.494296,510935040,723963904,16,1108348,10,983744,0,0,230715392,250314752,27090944,6209536,7561216,0,12595584,8276584,4319000
1786204454.746075,510914560,723963904,16,1108364,10,983760,0,0,230715392,250314752,27090944,6209536,7561216,0,12595584,8276584,4319000
1786204454.997763,513875968,723963904,16,1111544,10,984252,0,0,233209856,250318848,27107328,6209536,7573504,0,12605016,8277624,4327392
1786204455.249598,513613824,723963904,16,1111432,10,984140,0,0,233209856,250318848,27107328,6209536,7573504,0,12605016,8277624,4327392
1786204455.501170,481280000,723963904,18,925364,8,787652,0,0,199733248,250331136,27312128,5111808,8855552,16384,12729448,8360008,4369440
1786204455.753515,569376768,723963904,17,999420,8,787620,0,0,275312640,251027456,39829504,5341184,6623232,0,27199944,23253840,3946104
1786204456.004992,491253760,723963904,13,901464,8,788048,0,0,194019328,251113472,42467328,5046272,6201344,0,30619920,27001888,3618032
1786204456.256326,490840064,723963904,13,901468,8,788052,0,0,194019328,251113472,42467328,5046272,6201344,0,30619920,27001888,3618032
1786204456.507866,491401216,723963904,13,901712,8,788288,0,0,194170880,251117568,43253760,5046272,6889472,4096,30719568,27003456,3716112
1786204456.759436,491540480,723963904,13,901636,8,788212,0,0,194170880,251117568,43253760,5046272,6889472,4096,30719568,27003456,3716112
1786204457.010981,491520000,723963904,13,901652,8,788228,0,0,194211840,251121664,42467328,5046272,6201344,0,30623960,27002672,3621288
1786204457.262690,491028480,723963904,13,901652,8,788228,0,0,194211840,251121664,42467328,5046272,6201344,0,30623960,27002672,3621288
1786204457.514754,490725376,723963904,13,901652,8,788228,0,0,194211840,251121664,42467328,5046272,6201344,0,30623960,27002672,3621288
1786204457.765948,490721280,723963904,13,901652,8,788228,0,0,194211840,251121664,42467328,5046272,6201344,0,30623960,27002672,3621288
1786204458.017634,500105216,723963904,18,927348,8,788524,0,0,200511488,251125760,44609536,5111808,7475200,4096,31401360,27107280,4294080
1786204458.269377,552861696,723963904,17,925236,8,789420,0,0,252272640,251142144,44441600,5111808,7393280,4096,31301080,27103576,4197504
1786204458.520905,492322816,723963904,13,902860,8,789416,0,0,194994176,251158528,42524672,5046272,6201344,8192,30688144,27019096,3669048
1786204458.772582,491376640,723963904,13,902860,8,789412,0,0,194994176,251158528,42524672,5046272,6201344,8192,30688144,27019096,3669048
1786204459.023978,491638784,723963904,13,902872,8,789424,0,0,194994176,251158528,42524672,5046272,6201344,8192,30688144,27019096,3669048
1786204459.275272,491339776,723963904,13,902852,8,789404,0,0,194994176,251158528,42524672,5046272,6201344,8192,30688144,27019096,3669048
1786204459.526736,491601920,723963904,13,902876,8,789424,0,0,195010560,251158528,42508288,5046272,6201344,0,30666048,27009840,3656208
1786204459.777964,492564480,723963904,13,903328,8,789868,0,0,195407872,251158528,42573824,5046272,6205440,8192,30703944,27009840,3694104
1786204460.029570,492998656,723963904,13,903660,8,790200,0,0,195747840,251166720,42528768,5046272,6205440,8192,30673664,27010880,3662784
1786204460.280824,493109248,723963904,13,903624,8,790164,0,0,195747840,251166720,42528768,5046272,6205440,8192,30673664,27010880,3662784
1786204460.532428,492843008,723963904,13,903632,8,790172,0,0,195719168,251166720,42520576,5046272,6205440,0,30666840,27009840,3657000
1786204460.784449,492552192,723963904,13,903640,8,790180,0,0,195739648,251166720,42520576,5046272,6205440,0,30666840,27009840,3657000
1786204461.035841,492576768,723963904,13,903648,8,790188,0,0,195739648,251166720,42520576,5046272,6205440,0,30666840,27009840,3657000
1786204461.287555,492302336,723963904,13,903652,8,790192,0,0,195739648,251166720,42520576,5046272,6205440,0,30666840,27009840,3657000
1786204461.539275,492285952,723963904,13,903644,8,790184,0,0,195739648,251166720,42520576,5046272,6205440,0,30666840,27009840,3657000
1786204461.790948,492281856,723963904,13,903672,8,790212,0,0,195739648,251166720,42520576,5046272,6205440,0,30666840,27009840,3657000
1786204462.042355,493965312,723963904,13,904252,8,790792,0,0,196354048,251191296,42876928,5029888,6475776,12288,30761760,27018008,3743752
1786204462.293973,493977600,723963904,13,904264,8,790804,0,0,196300800,251199488,42512384,5029888,6209536,0,30667008,27011472,3655536
1786204462.545192,444022784,723963904,10,684972,6,593004,0,0,150274048,251199488,39227392,3964928,4833280,0,29972416,26991424,2980992
1786204462.796394,444018688,723963904,10,685004,6,593032,0,0,150278144,251199488,39202816,3964928,4833280,4096,29955464,26987032,2968432
