unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_process_count,codex_rss_kib,mcp_process_count,mcp_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786203830.722053,444690432,614313984,13,909696,8,795604,0,0,198889472,207663104,35553280,5193728,6246400,0,23549848,19670432,3879416
1786203830.973775,445108224,614313984,13,909928,8,795832,0,0,199143424,207667200,35528704,5177344,6246400,0,23542840,19671616,3871224
1786203831.225087,445108224,614313984,13,909928,8,795832,0,0,199143424,207667200,35504128,5160960,6246400,0,23535128,19671616,3863512
1786203831.476482,445853696,614313984,13,910148,8,796048,0,0,199368704,207671296,35561472,5160960,6246400,4096,23569192,19671616,3897576
1786203831.728029,445943808,614313984,13,910160,8,796060,0,0,199380992,207671296,35520512,5160960,6246400,8192,23537232,19672656,3864576
1786203831.979402,446214144,614313984,13,910248,8,796148,0,0,199380992,207671296,35520512,5160960,6246400,8192,23537232,19672656,3864576
1786203832.230697,446132224,614313984,13,910364,8,796264,0,0,199380992,207671296,35520512,5160960,6246400,8192,23537232,19672656,3864576
1786203832.482357,446386176,614313984,13,910488,8,796388,0,0,199380992,207671296,35520512,5160960,6246400,8192,23537232,19672656,3864576
1786203832.733948,455163904,614313984,18,946628,8,796652,0,0,204992512,207671296,38916096,5292032,8720384,0,24310320,19773152,4537168
1786203832.985486,455860224,614313984,16,930736,8,796840,0,0,205406208,207671296,38846464,5226496,6451200,0,26579784,22471056,4108728
1786203833.237254,460107776,614313984,16,930812,8,796916,0,0,205475840,207675392,42967040,5226496,6451200,0,30693024,26584696,4108328
1786203833.488734,465481728,614313984,16,930860,8,796964,0,0,205533184,207675392,48914432,5226496,6451200,0,36660312,32551112,4109200
1786203833.740492,473362432,614313984,19,941740,8,797196,0,0,207532032,207675392,54951936,5308416,7573504,0,41459952,36841416,4618536
1786203833.993533,480509952,614313984,19,950408,8,797324,0,0,210481152,207675392,59105280,5324800,8232960,0,44946520,40288616,4657904
1786203834.245296,476450816,614313984,16,931164,8,797264,0,0,205844480,201695232,65540096,5226496,6451200,0,53272784,49091608,4181176
1786203834.497092,480845824,614313984,16,931204,8,797304,0,0,205885440,201695232,69787648,5226496,6451200,0,57524912,53397432,4127480
1786203834.748728,486367232,614313984,16,931360,8,797460,0,0,206045184,201695232,76070912,5226496,6451200,0,63805064,59679840,4125224
1786203835.000482,494833664,614313984,16,931444,8,797544,0,0,206131200,201695232,83116032,5226496,6451200,0,70856056,66730432,4125624
1786203835.252589,509210624,614313984,20,948620,8,797768,0,0,211439616,201773056,92540928,5341184,8245248,0,78314984,73418544,4896440
1786203835.508136,690397184,690659328,19,1026128,8,798152,0,0,295473152,293142528,97779712,5488640,6811648,4096,84825832,80362552,4463280
1786203835.762234,1165168640,1165168640,19,1103668,8,801632,0,0,374849536,677888000,108847104,5505024,6987776,4096,95712352,91235904,4476448
1786203836.019037,1539203072,1539465216,19,1138940,8,805356,0,0,411144192,1001517056,121999360,5505024,7069696,12288,108792760,104313336,4479424
1786203836.273705,2028941312,2028941312,19,1139328,8,802276,0,0,411365376,1480761344,132141056,5505024,7077888,0,118911808,114436560,4475248
1786203836.531229,2147561472,2149203968,19,1139392,8,802320,0,0,411430912,1588502528,144023552,5505024,7077888,0,130809472,126334224,4475248
1786203836.789841,2147971072,2149613568,19,1144676,8,802460,0,0,416841728,1572319232,152702976,5505024,7098368,0,139438904,134962880,4476024
1786203837.044298,2148007936,2149613568,19,1144856,8,802500,0,0,417026048,1560084480,165228544,5505024,7098368,0,151961616,147485616,4476000
1786203837.298614,2147373056,2149613568,19,1144956,8,802536,0,0,417058816,1546391552,177872896,5488640,7098368,0,164642768,160174584,4468184
1786203837.554450,2147901440,2149613568,19,1144952,8,802540,0,0,417054720,1533317120,191361024,5488640,7098368,0,178121272,173652888,4468384
1786203837.809098,2147500032,2149613568,19,1144912,8,802540,0,0,417013760,1527365632,198275072,5488640,7098368,0,185037712,180570328,4467384
1786203838.063345,2147295232,2149613568,21,1157456,8,802568,0,0,417488896,1521704960,202514432,5521408,7356416,0,189018232,184473144,4545088
1786203838.316650,2146709504,2149613568,19,1144892,8,802616,0,0,417239040,1520861184,203640832,5505024,7163904,0,190351664,185853600,4498064
1786203838.570827,2147577856,2149613568,19,1144972,8,802696,0,0,417075200,1518100480,206999552,5488640,7098368,0,193759672,189283600,4476072
1786203838.826143,2147532800,2149613568,19,1140676,8,802556,0,0,412676096,1516810240,213168128,5488640,7090176,4096,199936704,195462184,4474520
1786203839.081085,2147659776,2149613568,19,1148404,8,802516,0,0,420589568,1504849920,216903680,5488640,7110656,0,203662952,199190384,4472568
1786203839.336400,2147397632,2149613568,19,1147340,8,802516,0,0,419500032,1494990848,226045952,5488640,7110656,0,212814000,208342032,4471968
1786203839.590685,2147512320,2149613568,19,1133316,8,802516,0,0,405139456,1493848064,239349760,5488640,7086080,0,226117752,221645760,4471992
1786203839.844391,2147475456,2149613568,19,1132916,8,802516,0,0,404733952,1477726208,256204800,5488640,7086080,0,242972016,238499648,4472368
1786203840.099717,2148536320,2149613568,19,1132356,8,802516,0,0,404156416,1458978816,274579456,5488640,7086080,0,261345656,256873688,4471968
1786203840.356153,2147979264,2149666816,19,1132364,8,802516,0,0,404164608,1452679168,281427968,5488640,7086080,0,268202848,263731080,4471768
1786203840.613356,2147782656,2149863424,19,1144316,8,802516,0,0,416403456,1441136640,279994368,5488640,7118848,0,266756080,262283736,4472344
1786203840.868067,2147876864,2149961728,19,1144280,8,802540,0,0,416366592,1444999168,276365312,5488640,7118848,0,263115664,258645064,4470600
1786203841.122511,2147254272,2149961728,19,1144296,8,802556,0,0,416382976,1445314560,276643840,5488640,7118848,0,263398840,258928640,4470200
1786203841.375082,2147078144,2149961728,19,1144296,8,802556,0,0,416382976,1444892672,276344832,5488640,7118848,0,263116736,258647136,4469600
1786203841.626657,1880821760,2149961728,13,710476,6,597980,0,0,159424512,1442107392,276004864,3964928,5738496,4096,265761320,261971656,3789664
1786203841.878048,1883926528,2149961728,13,710980,6,597992,0,0,160215040,1442107392,279035904,3670016,5033984,0,269865216,266652872,3212344
1786203842.129537,1904295936,2149961728,13,722272,6,598068,0,0,171372544,1446432768,283148288,3670016,5054464,0,273971312,270755744,3215568
1786203842.381094,1909141504,2149961728,13,722272,6,598068,0,0,171372544,1446432768,288149504,3670016,5054464,0,278979056,275763496,3215560
