unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_process_count,codex_rss_kib,mcp_process_count,mcp_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786203447.082903,565805056,568885248,3,217440,2,190940,0,0,47714304,510705664,7385088,1064960,1769472,0,4420512,3611016,809496
1786203447.333627,565280768,568885248,3,216688,2,190188,0,0,46813184,510705664,7241728,1064960,1642496,0,4416952,3611016,805936
1786203447.584301,565276672,568885248,3,216688,2,190188,0,0,46813184,510705664,7241728,1064960,1642496,0,4416952,3611016,805936
1786203447.834983,564756480,568885248,3,216688,2,190188,0,0,46813184,510705664,7241728,1064960,1642496,0,4416952,3611016,805936
1786203448.085731,563965952,568885248,3,215700,2,189200,0,0,46813184,510705664,7237632,1064960,1642496,0,4416952,3611016,805936
1786203448.336608,563965952,568885248,3,215700,2,189200,0,0,46813184,510705664,7237632,1064960,1642496,0,4416952,3611016,805936
1786203448.587471,563965952,568885248,3,215700,2,189200,0,0,45801472,510705664,7254016,1064960,1658880,0,4417328,3611016,806312
1786203448.838274,563965952,568885248,3,215700,2,189200,0,0,45801472,510705664,7254016,1064960,1658880,0,4417328,3611016,806312
1786203449.089261,563965952,568885248,3,215700,2,189200,0,0,45801472,510705664,7254016,1064960,1658880,0,4417328,3611016,806312
1786203449.340238,563965952,568885248,3,215700,2,189200,0,0,45801472,510705664,7254016,1064960,1658880,0,4417328,3611016,806312
1786203449.591011,563965952,568885248,3,215700,2,189200,0,0,45801472,510705664,7254016,1064960,1658880,0,4417328,3611016,806312
1786203449.841707,563965952,568885248,3,215700,2,189200,0,0,45801472,510705664,7254016,1064960,1658880,0,4417328,3611016,806312
1786203450.092406,563965952,568885248,3,215700,2,189200,0,0,45801472,510705664,7254016,1064960,1658880,0,4417328,3611016,806312
1786203450.343192,563965952,568885248,3,215700,2,189200,0,0,45801472,510705664,7254016,1064960,1658880,0,4417328,3611016,806312
1786203450.593960,563965952,568885248,3,215700,2,189200,0,0,45801472,510705664,7254016,1064960,1658880,0,4417328,3611016,806312
1786203450.844833,563965952,568885248,3,215700,2,189200,0,0,45801472,510705664,7254016,1064960,1658880,0,4417328,3611016,806312
1786203451.095745,563965952,568885248,3,215700,2,189200,0,0,45801472,510705664,7254016,1064960,1658880,0,4417328,3611016,806312
