unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786202664.108414,1017782272,2188410880,9,305704,75488,143499264,346259456,199319552,1572864,4804608,8192,3555272,2122552,1432720
1786202664.359647,1230225408,2188410880,9,432616,74776,273129472,427307008,187162624,1556480,5066752,4096,3799928,2374744,1425184
1786202664.610797,1597865984,2188410880,9,649400,73852,496353280,568303616,150777856,1556480,5505024,4096,4079160,2653576,1425584
1786202664.861936,1923887104,2188410880,9,904312,73828,756895744,630767616,114978816,1556480,6012928,4096,4285176,2859592,1425584
1786202665.113058,2134659072,2188410880,9,1366540,73796,1230282752,365842432,89858048,1556480,6946816,4096,3668704,2243320,1425384
1786202665.364194,1039069184,2188410880,9,300360,73796,143462400,357883904,83197952,1523712,4767744,4096,3634720,2167280,1467440
1786202665.615464,1039945728,2188410880,9,304704,73800,144113664,357900288,83251200,1572864,4788224,8192,3606736,2170504,1436232
1786202665.866599,1350750208,2188410880,9,485092,73792,327503872,484155392,75935744,1523712,5169152,4096,3845208,2430984,1414224
1786202666.117815,1640570880,2188410880,9,693916,73764,541417472,558755840,57376768,1523712,5586944,4096,4023968,2611544,1412424
1786202666.369063,1738895360,2188410880,9,992952,73100,847974400,347103232,34054144,1523712,6184960,4096,3569312,2156888,1412424
1786202666.620144,1439666176,2188410880,9,873312,69384,728363008,161574912,26906624,1523712,6803456,4096,3160992,1749000,1411992
1786202666.871259,913993728,2188410880,7,270080,94208,130502656,242176000,24428544,1458176,4538368,20480,3107952,1817624,1290328
1786202667.122595,914399232,2188410880,7,271040,95168,130736128,242393088,24408064,1458176,4538368,8192,3111456,1818216,1293240
1786202667.373636,892858368,2188410880,7,267912,92140,131174400,221233152,23400448,1458176,4538368,12288,3106568,1813624,1292944
1786202667.632991,905117696,2188410880,7,269752,93856,131379200,232853504,23400448,1458176,4538368,12288,3104792,1811848,1292944
1786202667.884073,917610496,2188410880,8,299752,96816,138895360,237371392,23666688,1474560,4698112,12288,3184768,1843256,1341512
1786202668.134767,437850112,2188410880,3,119468,112304,43122688,274198528,9785344,1327104,4386816,12288,3683472,2415608,1267864
1786202668.385486,390184960,2188410880,3,117664,110500,40865792,331177984,7970816,1294336,1806336,12288,4633376,3528160,1105216
1786202668.636141,443777024,2188410880,3,117448,110284,40574976,384258048,8962048,1294336,1806336,16384,5629864,4520392,1109472
1786202668.886775,514723840,2188410880,3,117476,110312,40603648,454144000,9830400,1294336,1806336,12288,6494184,5390504,1103680
1786202669.137482,588730368,2188410880,3,117512,110348,40640512,527421440,10784768,1294336,1806336,12288,7445376,6343272,1102104
1786202669.388181,664621056,2188410880,3,117516,110352,40644608,602193920,11591680,1294336,1806336,12288,8247288,7146184,1101104
1786202669.638903,708550656,2188410880,3,125956,111280,43794432,642998272,11575296,983040,1806336,12288,8555272,7599320,955952
1786202669.889551,708214784,2188410880,3,125956,111280,43794432,642998272,11575296,983040,1806336,12288,8555272,7599320,955952
1786202670.140221,698052608,2188410880,3,125384,110856,43778048,633565184,11444224,917504,1789952,12288,8520448,7597544,922904
1786202670.390994,698253312,2188410880,3,125384,110856,43778048,633565184,11440128,917504,1789952,12288,8519264,7596360,922904
